2		23		001001110
10		161		001000
13		161		1111111
32		1827		101
%		2		1111110011001
'		1		11111100111010
(		19		1111110101
)		21		1111110110
,		110		1101000
-		49		10010001
.		104		1001001
/		1		11111100111011
0		2		1111110011100
1		6		11010010110
2		3		1111110111101
3		1		11111100110101
4		1		11111100110100
9		2		1111110011000
:		1		11111101111000
;		5		111111011100
A		22		001001101
B		4		111111001111
C		21		001001010
D		25		110100100
E		7		11010010111
F		13		1101001010
G		15		1101001101
H		6		111111011111
I		24		100100000
L		1		11111101111001
M		22		001001011
N		12		0010011111
O		14		1101001100
P		12		1001000011
R		5		111111011101
S		12		1001000010
T		32		111111000
U		8		11111100100
V		2		1111110011011
W		11		0010011110
a		899		1100
b		135		1111000
c		416		01101
d		356		00101
e		1295		000
f		233		110101
g		217		100101
h		369		01100
i		856		1000
j		22		001001100
k		42		00100100
l		454		10011
m		271		110111
n		750		0101
o		829		0111
p		275		111101
q		19		1111110100
r		703		0100
s		696		0011
t		1080		1110
u		283		111110
v		132		1101101
w		123		1101100
x		31		110100111
y		138		1111001
z		8		11111100101
